parent_code,code,name,type,asset_type,method_number_min,method_number,account_asset_id,account_depreciation_id,account_expense_id,account_income_id,method,method_time,method_period
2_1_25,2_1_25_4,"Alte masini, utilaje si instalatii neregasite in cadrul clasei 2.1.25.",normal,fixed,96,144,213100,281300,681100,758300,linear,number,1
2_1,2_1_26,"Alte masini, utilaje si instalatii",view,none,,,,,,,,,
2_1_26,2_1_26_1,"Masini, aparate si instalatii pentru producerea de filme si proiectie cinematografica, in afara de:",normal,fixed,96,144,213100,281300,681100,758300,linear,number,1
2_1_26_1,2_1_26_1_1,"Masini, aparate si instalatii pentru producerea de filme si proiectie cinematografica - lampi fulger electronice, proiectoare si cutii de distributie",normal,fixed,48,96,213100,281300,681100,758300,linear,number,1
2_1_26,2_1_26_2,"Masini, utilaje si instalatii fotografice, utilaje pentru scene de teatru, cluburi si cinematografe, in afara de:",normal,fixed,108,180,213100,281300,681100,758300,linear,number,1
2_1_26_2,2_1_26_2_1,"Masini, utilaje si instalatii fotografice, utilaje pentru scene de teatru, cluburi si cinematografe - cortine, scene",normal,fixed,144,216,213100,281300,681100,758300,linear,number,1
2_1_26_2,2_1_26_2_2,"Masini, utilaje si instalatii fotografice, utilaje pentru scene de teatru, cluburi si cinematografe - scene metalice demontabile",normal,fixed,72,120,213100,281300,681100,758300,linear,number,1
2_1_26,2_1_26_3,"Instrumente muzicale si automate muzicale, in afara de:",normal,fixed,108,180,213100,281300,681100,758300,linear,number,1
2_1_26_3,2_1_26_3_1,Instrumente muzicale si automate muzicale - orga clasica cu comanda electrica,normal,fixed,480,720,213100,281300,681100,758300,linear,number,1
2_1_26,2_1_26_4,"Masini, utilaje si instalatii pentru producerea de discuri fonografice",normal,fixed,72,120,213100,281300,681100,758300,linear,number,1
2_1_26,2_1_26_5,"Masini si utilaje pentru hidrometrie. Masini si echipamente pentru saloane de frizerie, coafura si cosmetica, in afara de:",normal,fixed,108,180,213100,281300,681100,758300,linear,number,1
2_1_26_5,2_1_26_5_1,"Masini si utilaje pentru hidrometrie. Masini si echipamente pentru saloane de frizerie, coafura si cosmetica - unelte si instrumente de frizerie, cosmetica si coafura",normal,fixed,48,96,213100,281300,681100,758300,linear,number,1
2_1,2_1_27,Accesorii de productie,normal,fixed,48,96,213100,281300,681100,758300,linear,number,1
2_1,2_1_28,"Alte echipamente tehnologice (masini, utilaje si instalatii de lucru) neregasite in cadrul subgrupei 2.1.",normal,fixed,96,144,213100,281300,681100,758300,linear,number,1
2_1,2_1_3,"Masini, utilaje si instalatii pentru metalurgia feroasa, inclusiv laminarea si trefilarea metalelor",view,none,,,,,,,,,
2_1_3,2_1_3_1,"Masini, utilaje si instalatii pentru productia de cocs metalurgic, pentru productia fontei de prima fuziune si a feroaliajelor.Masini, utilaje si instalatii pentru productia electrozilor de sudura. Masini, utilaje si instalatii pentru acoperirea si protectia suprafetei laminatelor, tevilor si trefilatelor.",normal,fixed,132,204,213100,281300,681100,758300,linear,number,1
2_1_3,2_1_3_2,"Masini, utilaje si instalatii pentru productia de otel",normal,fixed,144,216,213100,281300,681100,758300,linear,number,1
2_1_3,2_1_3_3,"Masini, utilaje si instalatii pentru productia de laminate. Masini, utilaje si instalatii pentru productia barelor, sarmelor si tevilor trase. Masini, utilaje si instalatii pentru productia de tevi sudate.",normal,fixed,108,180,213100,281300,681100,758300,linear,number,1
2_1_3,2_1_3_4,"Alte masini, utilaje si instalatii neregasite in cadrul clasei 2.1.3.",normal,fixed,108,180,213100,281300,681100,758300,linear,number,1
2_1,2_1_4,"Masini, utilaje si instalatii pentru metalurgia neferoasa",normal,fixed,132,204,213100,281300,681100,758300,linear,number,1
2_1_4,2_1_4_1,"Masini si instalatii pentru reducere, topire, distilare si turnare. Cuptoare pentru prerafinare, masini si instalatii pentru convertizoare si rafinare.",normal,fixed,132,204,213100,281300,681100,758300,linear,number,1
2_1_4,2_1_4_2,"Masini si instalatii pentru prelucrarea produselor, subproduselor si deseurilor din metalurgia neferoasa",normal,fixed,108,180,213100,281300,681100,758300,linear,number,1
2_1_4,2_1_4_3,"Alte masini, utilaje si instalatii neregasite in cadrul clasei 2.1.4.",normal,fixed,108,180,213100,281300,681100,758300,linear,number,1
2_1,2_1_5,"Masini, utilaje si instalatii pentru constructia de masini si prelucrarea metalului",view,none,,,,,,,,,
2_1_5,2_1_5_1,"Masini de alezat si frezat orizontale. Masini de rabotat cu masa mobila. Ciocane de forja. Prese de forja, prese speciale si specializate, masini de forjat, masini de rulat, indoit si debitat tabla, profile si tevi, masini auxiliare speciale pentru forja. Masini si instalatii de incalzire pentru forja. Masini, utilaje si instalatii pentru dezbatereasi curatirea pieselor turnate. Masini, utilaje si instalatii pentru tratamente termice. Masini, utilaje si instalatii specifice pentru productia de cabluri si conductoare. Masini, utilaje si instalatii specifice pentru productia de materiale electroizolante si de pulberi. Masini, utilaje si instalatii specializate de confectionat produse din sarma (cuie, ace, tinte, etc.). Masini, utilaje si instalatii specializate de confectionat produse din tabla subtire (jucarii, ambalaje, etc.). Masini, utilaje si instalatii specializate de confectionat autovehicule, tractoare, locomotive, vagoane. Masini specializate pentru confectionat nituri, suruburi, tirfoane, piulite si caiele. Masini, utilaje si instalatii specializate pentru constructia de nave, in afara de:  ",normal,fixed,108,180,213100,281300,681100,758300,linear,number,1
2_1_5_1,2_1_5_1_1,"Masini de alezat si frezat orizontale. Masini de rabotat cu masa mobila. Ciocane de forja. Prese de forja, prese speciale si specializate, masini de forjat, masini de rulat, indoit si debitat tabla, profile si tevi, masini auxiliare speciale pentru forja. Masini si instalatii de incalzire pentru forja. Masini, utilaje si instalatii pentru dezbatereasi curatirea pieselor turnate. Masini, utilaje si instalatii pentru tratamente termice. Masini, utilaje si instalatii specifice pentru productia de cabluri si conductoare. Masini, utilaje si instalatii specifice pentru productia de materiale electroizolante si de pulberi. Masini, utilaje si instalatii specializate de confectionat produse din sarma (cuie, ace, tinte, etc.). Masini, utilaje si instalatii specializate de confectionat produse din tabla subtire (jucarii, ambalaje, etc.). Masini, utilaje si instalatii specializate de confectionat autovehicule, tractoare, locomotive, vagoane. Masini specializate pentru confectionat nituri, suruburi, tirfoane, piulite si caiele. Masini, utilaje si instalatii specializate pentru constructia de nave,:   nii automate de formare-turnare",normal,fixed,144,216,213100,281300,681100,758300,linear,number,1
2_1_5,2_1_5_2,"Strunguri: paralele, frontale si carusel, revolver, automate si semiautomate, specializate. Masini de alezat. Masini de frezat. Masini de rabotat cu cutit mobil (sepinguri) si de mortezat, de prelucrat roti dintate, de filetat, etc., polizoare fixe. Masini de gaurit, masini de debitat metale. Masini agregat, linii automate si semiautomate, centre de prelucrare a metalului prin aschiere. Masini de formare, miezuire si formare de precizie si cu modele usor fuzibile, masini de turnat, uscatoare pentru forme si miezuri, masini, utilaje si instalatii pentru elaborarea metalelor si aliajelor. Masini, utilaje si instalatii pentru vopsire si acoperiri metalice. Masini, utilaje si instalatii comune pentru industria electrotehnica. Masini, utilaje si instalatii specifice pentru productia de transformatoare. Masini, utilaje si instalatii specifice pentru productia de masini electrice rotative. Masini, utilaje si instalatii specifice pentru productia de aparataj de inalta si joasa tensiune,d e aparate electrice, telefonice si de masurare. Masini, utilaje si instalatii specifice pentru fabricatia de produse electrochimice si surse de iluminat. Masini, utilaje si instalatii specifice pentru prelucrarea metalului prin procedee speciale (ultrasunete, etc.). Masini, utilaje si instalatii specializate pentru constructii aeronautice. Masini specializate pentru confectionat armaturi si fitiguri. ",normal,fixed,96,144,213100,281300,681100,758300,linear,number,1
2_1_5,2_1_5_3,Masini specializate pentru confectionat arcuri.,normal,fixed,108,180,213100,281300,681100,758300,linear,number,1
2_1_5_3,2_1_5_3_4,"Alte masini, utilaje si instalatii pentru industria chimica organica",normal,fixed,108,180,213100,281300,681100,758300,linear,number,1
2_1_5,2_1_5_4,"Masini, utilaje si instalatii specializate pentru confectionarea ceasurilor",normal,fixed,72,120,213100,281300,681100,758300,linear,number,1
2_1_5,2_1_5_5,"Masini, utilaje si instalatii pentru sudarea metalului",normal,fixed,72,120,213100,281300,681100,758300,linear,number,1
2_1_5,2_1_5_6,"Masini, utilaje si instalatii specifice pentru productia componentelor produselor si sistemelor electronice (semiconductoare, circuite imprimate, aparate audio si video, aparate si instrumente electronice de masurare, calculatoare si periferice, etc.).",normal,fixed,60,108,213100,281300,681100,758300,linear,number,1
